site,temp,vpd,precip,group,class,station,state,tzone,lat,lon,years,area,perct_irri,texture
722080,22.41604377786774,0.7133360356708698,952.5955816781442,0,1,CHARLESTON INTL ARPT,SC,-5,32.9,-80.033,25,10052.40688,5.735219045105707,SaLo
722140,22.97198205546483,0.7079200652528599,1177.1381321370438,0,1,TALLAHASSEE REGIONAL AP [ISIS],FL,-5,30.4,-84.35,19,9510.12727,13.34814801869828,LoSa
722230,23.260486370925026,0.7451469802244788,1114.753768038489,0,1,MOBILE REGIONAL AP,AL,-6,30.683000000000003,-88.25,22,6766.354399999998,3.964361751777973,SaLo
722260,22.62466666666643,0.8059999999999916,797.3133333333404,0,1,MONTGOMERY DANNELLY FIELD,AL,-6,32.3,-86.4,18,5948.88816,3.8425788995266137,SaLo
722340,22.059333333333285,0.7106666666666661,906.509999999999,0,1,MERIDIAN KEY FIELD,MS,-6,32.333,-88.75,21,4532.48618,0.7299595584769121,SaLo
722350,22.42362500000002,0.7243187500000077,776.9953125000108,0,1,JACKSON INTERNATIONAL AP,MS,-6,32.317,-90.083,22,5309.4838,0.99762652885104,SiLo
722500,25.975625000000264,0.8212499999999937,397.01562500000256,2,1,BROWNSVILLE S PADRE ISL INTL,TX,-6,25.9,-97.433,23,14107.363226,22.85252794240354,SaClLo
722510,25.331578947368346,0.813157894736839,464.4947368421088,2,1,CORPUS CHRISTI INTL ARPT [UT],TX,-6,27.767,-97.517,21,11177.434686,1.2534547489395256,SaClLo
722530,24.470491071428643,1.0577306547619125,507.3818452380925,2,1,SAN ANTONIO INTL AP,TX,-6,29.533,-98.467,21,4880.516361999999,4.539038487097622,ClLo
722540,24.212119446467344,1.005200291332855,531.0636562272458,2,1,AUSTIN MUELLER MUNICIPAL AP [UT],TX,-6,30.3,-97.7,22,11622.58966,1.681149022931439,ClLo
722560,24.002718750000234,1.0501484375000074,508.953007812502,2,1,WACO REGIONAL AP,TX,-6,31.617,-97.233,21,18291.819262,1.0641978238950291,ClLo
723040,20.69000000000009,0.5566666666666553,838.0333333333442,0,3,CAPE HATTERAS NWS BLDG,NC,-5,35.267,-75.55,20,9858.15755,0.3914699581748408,SiLo
723060,19.885882352941348,0.6900000000000159,632.2794117647072,3,1,RALEIGH DURHAM INTERNATIONAL,NC,-5,35.867,-78.783,22,4675.7451,5.369571476898542,SaLo
723080,19.90571428571443,0.7309523809523829,740.1857142857212,3,1,NORFOLK INTERNATIONAL AP,VA,-5,36.9,-76.2,23,6434.51165,0.8796312733282673,SaLo
723170,19.177814726840612,0.6783135391924138,672.7442992874134,3,1,GREENSBORO PIEDMONT TRIAD INT,NC,-5,36.1,-79.95,27,4916.93814,3.7178378725277015,SaLo
723230,20.855909090909012,0.7459090909090896,813.2590909090823,0,1,HUNTSVILLE INTL/JONES FIELD,AL,-6,34.65,-86.78299999999999,30,14074.98866,2.1485911599236567,SiLo
723270,20.29368421052638,0.7368421052631605,724.4473684210521,3,1,NASHVILLE INTERNATIONAL AP,TN,-6,36.117,-86.68299999999999,22,4135.89364,0.8237762617589375,SiLo
723340,22.211904761904638,0.8928571428571296,797.7904761904789,0,1,MEMPHIS INTERNATIONAL AP,TN,-6,35.067,-89.98299999999999,25,6936.322620000001,13.963860346357055,SiLo
724060,18.421739130434677,0.7304347826086942,611.8260869565329,3,1,BALTIMORE BLT-WASHNGTN INT'L,MD,-5,39.167,-76.683,26,7223.64985,2.20428635245178,SaLo
724230,19.391666666666666,0.7320833333333324,727.5374999999823,3,1,LOUISVILLE STANDIFORD FIELD,KY,-5,38.183,-85.73299999999999,28,4678.1733,0.6960298303829218,SiLo
724290,16.782500000000102,0.6079999999999998,671.0274999999907,3,1,DAYTON INTERNATIONAL AIRPORT,OH,-5,39.9,-84.21700000000001,24,28910.787,0.6820056725547361,SiLo
724320,19.27772727272762,0.6977272727272738,697.3227272727329,3,1,EVANSVILLE REGIONAL AP,IN,-6,38.05,-87.53299999999999,25,31678.841000000004,1.7680461934860898,SiLo
724340,19.394999999999968,0.780625000000006,649.6968750000038,3,1,ST LOUIS LAMBERT INT'L ARPT,MO,-6,38.75,-90.367,20,25454.766125,1.3459109183807196,SiLo
724380,17.37499999999985,0.5786363636363476,699.6068181818231,3,1,INDIANAPOLIS INTL AP,IN,-5,39.717,-86.26700000000001,26,28133.789,0.7471672218357224,SiLo
724400,18.827647058823477,0.6576470588235359,774.6529411764571,3,1,SPRINGFIELD REGIONAL ARPT,MO,-6,37.233,-93.383,21,4742.92304,1.31895895124753,SiLo
724460,18.484560092007374,0.6873548016101134,718.912420931573,3,1,KANSAS CITY INT'L ARPT,MO,-6,39.3,-94.717,20,10384.2496,0.9228523193667624,SiClLo
724500,19.89263157894755,0.8463157894736768,556.507894736841,2,1,WICHITA MID-CONTINENT AP,KS,-6,37.65,-97.433,23,11395.965399999995,5.9227893117530686,SiClLo
724510,18.608695652173388,0.8613043478260848,428.1239130434898,2,1,DODGE CITY REGIONAL AP,KS,-6,37.767,-99.967,25,20776.592896,18.18309525881396,SiLo
724560,18.60408361970225,0.6781786941580714,658.2105956472003,3,1,TOPEKA MUNICIPAL AP,KS,-6,39.067,-95.633,24,14495.862199999998,3.4690885986679505,ClLo
724650,16.266666666666936,0.7459999999999924,409.20333333333434,1,1,GOODLAND RENNER FIELD,KS,-7,39.367,-101.7,18,29922.5026,13.134870808623486,SiLo
725170,16.475000000000097,0.625555555555546,695.3194444444408,3,1,ALLENTOWN LEHIGH VALLEY INTL,PA,-5,40.65,-75.45,25,10513.74926,1.4809365690048124,SiLo
725190,14.633478260869847,0.5017391304347911,634.7130434782568,1,1,SYRACUSE HANCOCK INT'L ARPT,NY,-5,43.117,-76.1,25,12618.11796,0.8313148284025695,SiLo
725210,15.35647058823552,0.5376470588235287,639.9441176470647,1,1,AKRON AKRON-CANTON REG AP,OH,-5,40.917,-81.433,20,15580.42124,0.9890453596352842,SiLo
725240,15.790000000000004,0.5510526315789426,648.9000000000166,1,1,CLEVELAND HOPKINS INTL AP,OH,-5,41.4,-81.85,19,12351.024768,2.7620912077841147,SiLo
725260,14.66266666666694,0.4993333333333351,657.8400000000008,1,1,ERIE INTERNATIONAL AP,PA,-5,42.083,-80.183,18,10133.3441,0.4605799932743527,SiLo
725280,14.186000000000051,0.5015000000000136,581.8774999999899,1,1,BUFFALO NIAGARA INTL AP,NY,-5,42.933,-78.733,20,11873.49516,2.618835991773408,SiLo
725290,14.63764705882348,0.4976470588235264,513.7235294117633,1,1,ROCHESTER GREATER ROCHESTER I,NY,-5,43.117,-77.683,25,18040.9138,2.260828834327674,SiLo
